Date, Open, High, Low, Close, Volume
12/31/2021,178.085,179.23,177.26,177.57,64062262
12/30/2021,179.47,180.57,178.09,178.2,59773008
12/29/2021,179.33,180.63,178.14,179.38,62348930
12/28/2021,180.16,181.33,178.53,179.29,79144336
12/27/2021,177.085,180.42,177.07,180.33,74919586
12/23/2021,175.85,176.8499,175.27,176.28,68356570
12/22/2021,173.04,175.86,172.15,175.64,92135297
12/21/2021,171.555,173.2,169.12,172.99,91185914
12/20/2021,168.28,170.58,167.46,169.75,107499102
12/17/2021,169.93,173.47,169.69,171.14,195923391
12/16/2021,179.28,181.14,170.75,172.26,150185797
12/15/2021,175.11,179.5,172.3108,179.3,131063297
12/14/2021,175.25,177.74,172.21,174.33,139380406
12/13/2021,181.115,182.13,175.53,175.74,153236984
12/10/2021,175.205,179.63,174.69,179.45,115402703
12/9/2021,174.91,176.75,173.92,174.56,108923695
12/8/2021,172.125,175.96,170.7,175.08,116998898
12/7/2021,169.08,171.58,168.34,171.18,120405398
12/6/2021,164.29,167.8799,164.28,165.32,107497000
12/3/2021,164.02,164.96,159.72,161.84,118023102
12/2/2021,158.735,164.2,157.8,163.76,136739203
12/1/2021,167.48,170.3,164.53,164.77,152423016
11/30/2021,159.985,165.52,159.92,165.3,174048094
11/29/2021,159.37,161.19,158.7901,160.24,88748227
11/26/2021,159.565,160.45,156.36,156.81,76959750
11/24/2021,160.75,162.14,159.64,161.94,69463617
11/23/2021,161.12,161.8,159.0601,161.41,96041906
11/22/2021,161.68,165.7,161,161.02,117467906
11/19/2021,157.65,161.02,156.5328,160.55,117305602
11/18/2021,153.71,158.67,153.05,157.87,137827703
11/17/2021,150.995,155,150.99,153.49,88807000
11/16/2021,149.94,151.488,149.34,151,59256207
11/15/2021,150.37,151.88,149.43,150,59222801
11/12/2021,148.43,150.4,147.48,149.99,63804008
11/11/2021,148.96,149.43,147.681,147.87,40999953
11/10/2021,150.02,150.13,147.85,147.92,65187090
11/9/2021,150.2,151.428,150.0601,150.81,56787930
11/8/2021,151.41,151.57,150.16,150.44,55020871
11/5/2021,151.89,152.2,150.06,151.28,65463879
11/4/2021,151.58,152.43,150.64,150.96,60394621
11/3/2021,150.39,151.97,149.82,151.49,54511527
11/2/2021,148.66,151.57,148.65,150.02,69121992
11/1/2021,148.985,149.7,147.8,148.96,74588258
10/29/2021,147.215,149.94,146.4128,149.8,124953203
10/28/2021,149.82,153.165,149.72,152.57,100077906
10/27/2021,149.36,149.73,148.49,148.85,56094930
10/26/2021,149.33,150.84,149.0101,149.32,60893398
10/25/2021,148.68,149.37,147.6211,148.64,50720559
10/22/2021,149.69,150.18,148.64,148.69,58883441
10/21/2021,148.81,149.64,147.87,149.48,61420992
10/20/2021,148.7,149.7539,148.12,149.26,58418793
10/19/2021,147.01,149.17,146.55,148.76,76378891
10/18/2021,143.445,146.84,143.16,146.55,85589188
10/15/2021,143.77,144.895,143.51,144.84,67940328
10/14/2021,142.11,143.88,141.51,143.76,69907102
10/13/2021,141.235,141.4,139.2,140.91,78762719
10/12/2021,143.23,143.25,141.0401,141.51,73035859
10/11/2021,142.27,144.81,141.81,142.81,64452219
10/8/2021,144.03,144.1781,142.56,142.9,58773160
10/7/2021,143.06,144.215,142.72,143.29,61732660
10/6/2021,139.47,142.15,138.37,142,83221117
10/5/2021,139.49,142.24,139.36,141.11,80861055
10/4/2021,141.76,142.21,138.27,139.14,98322008
10/1/2021,141.9,142.92,139.1101,142.65,94639586
9/30/2021,143.66,144.378,141.28,141.5,89056656
9/29/2021,142.47,144.45,142.03,142.83,74602039
9/28/2021,143.25,144.75,141.69,141.91,108972305
9/27/2021,145.47,145.96,143.82,145.37,74150727
9/24/2021,145.66,147.4701,145.56,146.92,53477871
9/23/2021,146.65,147.08,145.64,146.83,64838168
9/22/2021,144.45,146.43,143.7001,145.85,76404336
9/21/2021,143.93,144.6,142.78,143.43,75833961
9/20/2021,143.8,144.84,141.27,142.94,123478898
